epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,5.53528,4.53081,5.61635,1.45626,0,0,0,0,0,9.26389,0,0,0,0
2,10.6363,4.59756,4.7472,1.54183,0,0,0,0,0,9.27712,0,1.9802e-05,1.9802e-05,1.9802e-05
3,13.7341,4.76687,5.60791,1.41575,0,0,0,0,0,9.29709,0,3.9208e-05,3.9208e-05,3.9208e-05
4,16.8017,4.6063,4.25653,1.47433,0,0,0,0,0,9.32204,0,5.8218e-05,5.8218e-05,5.8218e-05
5,19.4728,3.79349,4.27096,1.47035,0,0,0,0,0,9.34811,0,7.6832e-05,7.6832e-05,7.6832e-05
6,22.4856,4.06696,3.94484,1.3361,0,0,0,0,0,9.3723,0,9.505e-05,9.505e-05,9.505e-05
7,25.0692,3.39628,4.57553,1.19129,0,0,0,0,0,9.38785,0,0.000112872,0.000112872,0.000112872
8,28.4786,3.37801,3.56242,1.07107,0,0,0,0,0,9.39827,0,0.000130298,0.000130298,0.000130298
9,32.5031,3.15993,3.43148,1.06363,0,0,0,0,0,9.41207,0,0.000147328,0.000147328,0.000147328
10,36.4604,3.00771,3.4689,1.08791,0,0,0,0,0,9.42427,0,0.000163962,0.000163962,0.000163962
11,40.4973,3.34414,3.33457,1.007,0,0,0,0,0,9.4504,0,0.0001802,0.0001802,0.0001802
12,44.4247,3.0316,3.20023,0.98819,0,0,0,0,0,9.49059,0,0.000196042,0.000196042,0.000196042
13,47.8258,3.40441,2.78763,0.92579,0,0,0,0,0,9.50312,0,0.000211488,0.000211488,0.000211488
14,51.0094,3.23813,2.41096,0.94438,0,0,0,0,0,9.44147,0,0.000226538,0.000226538,0.000226538
15,54.5575,2.86931,2.26281,0.97708,0,0,0,0,0,9.32667,0,0.000241192,0.000241192,0.000241192
16,57.8357,3.1211,2.05468,0.97462,0,0,0,0,0,9.15844,0,0.00025545,0.00025545,0.00025545
17,61.0418,2.59061,2.15487,1.04916,0,0,0,0,0,9.01138,0,0.000269312,0.000269312,0.000269312
18,64.3314,3.08634,2.25003,1.00258,0,0,0,0,0,9.01138,0,0.000282778,0.000282778,0.000282778
19,67.5912,3.34539,2.20448,0.94894,0,0,0,0,0,8.94652,0,0.000295848,0.000295848,0.000295848
20,71.8567,3.47881,2.32627,0.95875,0,0,0,0,0,8.94652,0,0.000308522,0.000308522,0.000308522
21,75.5405,3.5486,2.0224,0.95474,0,0,0,0,0,8.99514,0,0.0003208,0.0003208,0.0003208
22,78.6756,3.77183,2.34735,0.94263,0,0,0,0,0,8.99514,0,0.000332682,0.000332682,0.000332682
23,81.9266,3.25181,1.80563,0.96925,0,0,0,0,0,9.09964,0,0.000344168,0.000344168,0.000344168
24,84.6735,2.71344,2.05696,0.96041,0,0,0,0,0,9.09964,0,0.000355258,0.000355258,0.000355258
25,87.469,2.58889,2.91547,0.98667,0,0,0,0,0,9.25052,0,0.000365952,0.000365952,0.000365952
26,90.5378,2.92114,2.26121,1.00704,0,0,0,0,0,9.25052,0,0.00037625,0.00037625,0.00037625
27,93.3515,2.69249,3.0895,0.93114,0,0,0,0,0,9.24722,0,0.000386152,0.000386152,0.000386152
28,96.5926,3.00991,2.71937,0.91867,0,0,0,0,0,9.24722,0,0.000395658,0.000395658,0.000395658
29,100.705,3.05082,2.35667,0.89412,0,0,0,0,0,9.12646,0,0.000404768,0.000404768,0.000404768
30,104.64,3.00048,1.98957,0.9215,0,0,0,0,0,9.12646,0,0.000413482,0.000413482,0.000413482
31,107.938,2.81474,2.00431,0.9481,0,0,0,0,0,8.96907,0,0.0004218,0.0004218,0.0004218
32,111.105,2.72365,1.95789,0.93637,0,0,0,0,0,8.96907,0,0.000429722,0.000429722,0.000429722
33,114.762,2.72587,2.13889,0.92475,0,0,0,0,0,8.91061,0,0.000437248,0.000437248,0.000437248
34,118.02,2.98735,2.04744,0.95605,0,0,0,0,0,8.91061,0,0.000444378,0.000444378,0.000444378
35,121.257,2.74686,2.01694,0.9815,0,0,0,0,0,8.75822,0,0.000451112,0.000451112,0.000451112
36,125.576,2.87596,1.79535,0.96418,0,0,0,0,0,8.75822,0,0.00045745,0.00045745,0.00045745
37,128.546,3.10367,1.85891,0.92001,0,0,0,0,0,8.62661,0,0.000463392,0.000463392,0.000463392
38,131.642,2.43997,1.62042,0.969,0,0,0,0,0,8.62661,0,0.000468938,0.000468938,0.000468938
39,134.685,3.31743,1.65374,0.90572,0,0,0,0,0,8.73096,0,0.000474088,0.000474088,0.000474088
40,137.699,3.04631,1.58555,0.91652,0,0,0,0,0,8.73096,0,0.000478842,0.000478842,0.000478842
41,140.826,2.69726,1.59142,0.94702,0,0,0,0,0,9.70845,0,0.0004832,0.0004832,0.0004832
